service_id,date,exception_type
1_915_355_6_232_3,20260106,1
1_915_355_6_232_3,20260228,1
1_915_355_6_232_3,20260402,1
1_915_355_6_232_3,20260403,1
1_915_355_6_232_3,20260501,1
1_915_355_6_232_3,20260815,1
1_915_355_6_232_3,20261212,1
1_915_355_6_232_3,20261102,1
1_915_355_6_232_3,20261207,1
1_915_355_6_232_3,20261208,1
1_915_355_6_232_3,20261225,1
1_915_355_6_232_3,20260422,1
1_915_355_6_232_3,20260604,1
1_924_1359_13_259_3,20260101,1
1_924_1359_13_259_3,20260106,1
1_924_1359_13_259_3,20260228,1
1_924_1359_13_259_3,20260402,1
1_924_1359_13_259_3,20260403,1
1_924_1359_13_259_3,20260501,1
1_924_1359_13_259_3,20260815,1
1_924_1359_13_259_3,20261212,1
1_924_1359_13_259_3,20261102,1
1_924_1359_13_259_3,20261207,1
1_924_1359_13_259_3,20261208,1
1_924_1359_13_259_3,20261225,1
1_924_1359_13_259_3,20260422,1
1_924_1359_13_259_3,20260604,1
1_924_1519_13_299_3,20260101,1
1_924_1519_13_299_3,20260106,1
1_924_1519_13_299_3,20260228,1
1_924_1519_13_299_3,20260402,1
1_924_1519_13_299_3,20260403,1
1_924_1519_13_299_3,20260501,1
1_924_1519_13_299_3,20260815,1
1_924_1519_13_299_3,20261212,1
1_924_1519_13_299_3,20261102,1
1_924_1519_13_299_3,20261207,1
1_924_1519_13_299_3,20261208,1
1_924_1519_13_299_3,20261225,1
1_924_1519_13_299_3,20260422,1
1_924_1519_13_299_3,20260604,1
1_924_1519_13_448_3,20260101,1
1_924_1519_13_448_3,20260106,1
1_924_1519_13_448_3,20260228,1
1_924_1519_13_448_3,20260402,1
1_924_1519_13_448_3,20260403,1
1_924_1519_13_448_3,20260501,1
1_924_1519_13_448_3,20260815,1
1_924_1519_13_448_3,20261212,1
1_924_1519_13_448_3,20261102,1
1_924_1519_13_448_3,20261207,1
1_924_1519_13_448_3,20261208,1
1_924_1519_13_448_3,20261225,1
1_924_1519_13_448_3,20260422,1
1_924_1519_13_448_3,20260604,1
1_928_344_13_308_3,20260101,1
1_928_344_13_308_3,20260106,1
1_928_344_13_308_3,20260228,1
1_928_344_13_308_3,20260402,1
1_928_344_13_308_3,20260403,1
1_928_344_13_308_3,20260501,1
1_928_344_13_308_3,20260815,1
1_928_344_13_308_3,20261212,1
1_928_344_13_308_3,20261102,1
1_928_344_13_308_3,20261207,1
1_928_344_13_308_3,20261208,1
1_928_344_13_308_3,20261225,1
1_928_344_13_308_3,20260422,1
1_928_344_13_308_3,20260604,1
1_928_344_13_309_3,20260101,1
1_928_344_13_309_3,20260106,1
1_928_344_13_309_3,20260228,1
1_928_344_13_309_3,20260402,1
1_928_344_13_309_3,20260403,1
1_928_344_13_309_3,20260501,1
1_928_344_13_309_3,20260815,1
1_928_344_13_309_3,20261212,1
1_928_344_13_309_3,20261102,1
1_928_344_13_309_3,20261207,1
1_928_344_13_309_3,20261208,1
1_928_344_13_309_3,20261225,1
1_928_344_13_309_3,20260422,1
1_928_344_13_309_3,20260604,1
1_928_505_13_314_3,20260101,1
1_928_505_13_314_3,20260106,1
1_928_505_13_314_3,20260228,1
1_928_505_13_314_3,20260402,1
1_928_505_13_314_3,20260403,1
1_928_505_13_314_3,20260501,1
1_928_505_13_314_3,20260815,1
1_928_505_13_314_3,20261212,1
1_928_505_13_314_3,20261102,1
1_928_505_13_314_3,20261207,1
1_928_505_13_314_3,20261208,1
1_928_505_13_314_3,20261225,1
1_928_505_13_314_3,20260422,1
1_928_505_13_314_3,20260604,1
1_932_223_9_206_3,20260101,1
1_932_223_9_206_3,20260106,1
1_932_223_9_206_3,20260228,1
1_932_223_9_206_3,20260402,1
1_932_223_9_206_3,20260403,1
1_932_223_9_206_3,20260501,1
1_932_223_9_206_3,20260815,1
1_932_223_9_206_3,20261212,1
1_932_223_9_206_3,20261102,1
1_932_223_9_206_3,20261207,1
1_932_223_9_206_3,20261208,1
1_932_223_9_206_3,20261225,1
1_932_223_9_206_3,20260422,1
1_932_223_9_206_3,20260604,1
1_932_668_9_210_3,20260101,1
1_932_668_9_210_3,20260106,1
1_932_668_9_210_3,20260228,1
1_932_668_9_210_3,20260402,1
1_932_668_9_210_3,20260403,1
1_932_668_9_210_3,20260501,1
1_932_668_9_210_3,20260815,1
1_932_668_9_210_3,20261212,1
1_932_668_9_210_3,20261102,1
1_932_668_9_210_3,20261207,1
1_932_668_9_210_3,20261208,1
1_932_668_9_210_3,20261225,1
1_932_668_9_210_3,20260422,1
1_932_668_9_210_3,20260604,1
1_932_668_9_211_3,20260101,1
1_932_668_9_211_3,20260106,1
1_932_668_9_211_3,20260228,1
1_932_668_9_211_3,20260402,1
1_932_668_9_211_3,20260403,1
1_932_668_9_211_3,20260501,1
1_932_668_9_211_3,20260815,1
1_932_668_9_211_3,20261212,1
1_932_668_9_211_3,20261102,1
1_932_668_9_211_3,20261207,1
1_932_668_9_211_3,20261208,1
1_932_668_9_211_3,20261225,1
1_932_668_9_211_3,20260422,1
1_932_668_9_211_3,20260604,1
1_936_1369_9_220_3,20260101,1
1_936_1369_9_220_3,20260106,1
1_936_1369_9_220_3,20260228,1
1_936_1369_9_220_3,20260402,1
1_936_1369_9_220_3,20260403,1
1_936_1369_9_220_3,20260501,1
1_936_1369_9_220_3,20260815,1
1_936_1369_9_220_3,20261212,1
1_936_1369_9_220_3,20261102,1
1_936_1369_9_220_3,20261207,1
1_936_1369_9_220_3,20261208,1
1_936_1369_9_220_3,20261225,1
1_936_1369_9_220_3,20260422,1
1_936_1369_9_220_3,20260604,1
1_939_1374_9_212_3,20260101,1
1_939_1374_9_212_3,20260106,1
1_939_1374_9_212_3,20260228,1
1_939_1374_9_212_3,20260402,1
1_939_1374_9_212_3,20260403,1
1_939_1374_9_212_3,20260501,1
1_939_1374_9_212_3,20260815,1
1_939_1374_9_212_3,20261212,1
1_939_1374_9_212_3,20261102,1
1_939_1374_9_212_3,20261207,1
1_939_1374_9_212_3,20261208,1
1_939_1374_9_212_3,20261225,1
1_939_1374_9_212_3,20260422,1
1_939_1374_9_212_3,20260604,1
1_942_1378_9_467_3,20260101,1
1_942_1378_9_467_3,20260106,1
1_942_1378_9_467_3,20260228,1
1_942_1378_9_467_3,20260402,1
1_942_1378_9_467_3,20260403,1
1_942_1378_9_467_3,20260501,1
1_942_1378_9_467_3,20260815,1
1_942_1378_9_467_3,20261212,1
1_942_1378_9_467_3,20261102,1
1_942_1378_9_467_3,20261207,1
1_942_1378_9_467_3,20261208,1
1_942_1378_9_467_3,20261225,1
1_942_1378_9_467_3,20260422,1
1_942_1378_9_467_3,20260604,1
1_942_1381_9_214_3,20260101,1
1_942_1381_9_214_3,20260106,1
1_942_1381_9_214_3,20260228,1
1_942_1381_9_214_3,20260402,1
1_942_1381_9_214_3,20260403,1
1_942_1381_9_214_3,20260501,1
1_942_1381_9_214_3,20260815,1
1_942_1381_9_214_3,20261212,1
1_942_1381_9_214_3,20261102,1
1_942_1381_9_214_3,20261207,1
1_942_1381_9_214_3,20261208,1
1_942_1381_9_214_3,20261225,1
1_942_1381_9_214_3,20260422,1
1_942_1381_9_214_3,20260604,1
1_945_1385_9_434_3,20260101,1
1_945_1385_9_434_3,20260106,1
1_945_1385_9_434_3,20260228,1
1_945_1385_9_434_3,20260402,1
1_945_1385_9_434_3,20260403,1
1_945_1385_9_434_3,20260501,1
1_945_1385_9_434_3,20260815,1
1_945_1385_9_434_3,20261212,1
1_945_1385_9_434_3,20261102,1
1_945_1385_9_434_3,20261207,1
1_945_1385_9_434_3,20261208,1
1_945_1385_9_434_3,20261225,1
1_945_1385_9_434_3,20260422,1
1_945_1385_9_434_3,20260604,1
1_950_736_24_242_4,20260101,1
1_950_736_24_242_4,20260106,1
1_950_736_24_242_4,20260228,1
1_950_736_24_242_4,20260402,1
1_950_736_24_242_4,20260403,1
1_950_736_24_242_4,20260501,1
1_950_736_24_242_4,20260815,1
1_950_736_24_242_4,20261212,1
1_950_736_24_242_4,20261102,1
1_950_736_24_242_4,20261207,1
1_950_736_24_242_4,20261208,1
1_950_736_24_242_4,20261225,1
1_950_736_24_242_4,20260422,1
1_950_736_24_242_4,20260604,1
1_950_739_24_245_4,20260101,1
1_950_739_24_245_4,20260106,1
1_950_739_24_245_4,20260228,1
1_950_739_24_245_4,20260402,1
1_950_739_24_245_4,20260403,1
1_950_739_24_245_4,20260501,1
1_950_739_24_245_4,20260815,1
1_950_739_24_245_4,20261212,1
1_950_739_24_245_4,20261102,1
1_950_739_24_245_4,20261207,1
1_950_739_24_245_4,20261208,1
1_950_739_24_245_4,20261225,1
1_950_739_24_245_4,20260422,1
1_950_739_24_245_4,20260604,1
1_950_744_24_243_4,20260101,1
1_950_744_24_243_4,20260106,1
1_950_744_24_243_4,20260228,1
1_950_744_24_243_4,20260402,1
1_950_744_24_243_4,20260403,1
1_950_744_24_243_4,20260501,1
1_950_744_24_243_4,20260815,1
1_950_744_24_243_4,20261212,1
1_950_744_24_243_4,20261102,1
1_950_744_24_243_4,20261207,1
1_950_744_24_243_4,20261208,1
1_950_744_24_243_4,20261225,1
1_950_744_24_243_4,20260422,1
1_950_744_24_243_4,20260604,1
1_952_742_24_247_3,20260101,1
1_952_742_24_247_3,20260106,1
1_952_742_24_247_3,20260228,1
1_952_742_24_247_3,20260402,1
1_952_742_24_247_3,20260403,1
1_952_742_24_247_3,20260501,1
1_952_742_24_247_3,20260815,1
1_952_742_24_247_3,20261212,1
1_952_742_24_247_3,20261102,1
1_952_742_24_247_3,20261207,1
1_952_742_24_247_3,20261208,1
1_952_742_24_247_3,20261225,1
1_952_742_24_247_3,20260422,1
1_952_742_24_247_3,20260604,1
1_955_152_10_259_3,20260101,1
1_955_152_10_259_3,20260106,1
1_955_152_10_259_3,20260228,1
1_955_152_10_259_3,20260402,1
1_955_152_10_259_3,20260403,1
1_955_152_10_259_3,20260501,1
1_955_152_10_259_3,20260815,1
1_955_152_10_259_3,20261212,1
