trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
934592b2-a139-414e-a1b1-7e4d68429e22,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
4b329e22-68f6-4716-82ad-2b9cb0b35221,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
2ebbd318-a051-4ff7-8046-3347a95b742c,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
f532366d-9bc1-46f8-ac5d-f41b95aa0983,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
8d274600-cd6c-4197-8048-ffd9830a3320,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
1e940dd1-2d31-41e7-9af1-9b8eb2215546,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
f85d114a-5c3f-4c97-9a9b-fe561d46f0ef,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
28c84cde-5b58-4d47-9c0f-b5b08fa4f15b,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
af4f2c46-50c1-4842-92ae-705aeff279d1,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
e38283fc-56be-4864-bb31-6647bc0edff9,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
9e310e6e-93a6-4108-b32f-1af0852105df,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
668ced68-c5bf-47ed-aee2-1e3fcd283a6f,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
e09b5cb5-afd9-4a6f-9f0c-2163d9df0d8a,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
6c3eb378-2ed9-4761-80e8-16b02c5dfbdc,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
c153cd5a-8c34-4d28-9f46-19fbff22aa2c,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
e4539e27-8948-422b-acb5-b17bc4d89459,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
4524f7d5-1865-4b23-8ea6-96b62e8a7d48,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
8082ea21-013a-4cca-9e80-f1e4d829375e,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
94049a4d-898f-4a0a-981b-61a9c814277d,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
52f4c006-2d84-4177-97af-99a85126fd83,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
